iter	Passed	Remaining
0	163	162893
1	166	83087
2	169	56492
3	174	43361
4	177	35300
5	180	29916
6	183	26026
7	187	23259
8	191	21049
9	194	19249
10	197	17747
11	200	16498
12	201	15335
13	203	14326
14	204	13459
15	206	12699
16	207	12025
17	209	11423
18	211	10894
19	212	10414
20	214	9978
21	215	9590
22	217	9226
23	218	8891
24	220	8583
25	221	8295
26	222	8031
27	224	7783
28	225	7555
29	227	7341
30	228	7140
31	229	6957
32	231	6779
33	232	6605
34	233	6439
35	234	6278
36	235	6124
37	236	5980
38	237	5844
39	238	5712
40	238	5587
41	239	5468
42	240	5355
43	241	5247
44	242	5144
45	243	5046
46	244	4953
47	245	4866
48	246	4781
49	247	4697
50	248	4616
51	248	4539
52	249	4465
53	250	4392
54	251	4322
55	252	4255
56	253	4190
57	254	4127
58	254	4066
59	255	4008
60	256	3952
61	257	3898
62	258	3845
63	259	3795
64	260	3749
65	261	3702
66	262	3654
67	263	3609
68	264	3564
69	265	3521
70	265	3479
71	266	3439
72	267	3399
73	268	3360
74	269	3322
75	270	3286
76	271	3250
77	272	3215
78	272	3181
79	273	3148
80	274	3117
81	275	3086
82	276	3051
83	277	3021
84	277	2990
85	278	2960
86	279	2931
87	280	2903
88	280	2875
89	281	2848
90	282	2822
91	283	2795
92	284	2770
93	284	2745
94	285	2720
95	286	2696
96	287	2673
97	287	2650
98	288	2627
99	289	2608
100	290	2590
101	291	2570
102	292	2549
103	293	2529
104	294	2509
105	295	2493
106	296	2474
107	297	2455
108	298	2436
109	298	2417
110	299	2399
111	300	2381
112	301	2364
113	301	2346
114	302	2329
115	303	2313
116	304	2296
117	305	2281
118	306	2265
119	306	2250
120	307	2235
121	308	2218
122	309	2203
123	309	2189
124	310	2175
125	311	2161
126	312	2146
127	313	2133
128	313	2119
129	314	2106
130	315	2092
131	316	2079
132	317	2066
133	317	2054
134	318	2042
135	319	2031
136	320	2019
137	321	2007
138	322	1995
139	322	1983
140	323	1972
141	324	1959
142	325	1947
143	325	1936
144	326	1925
145	327	1914
146	328	1903
147	328	1893
148	329	1882
149	330	1872
150	331	1862
151	332	1852
152	332	1842
153	333	1833
154	334	1824
155	335	1815
156	336	1805
157	337	1796
158	337	1787
159	338	1778
160	339	1767
161	340	1758
162	340	1750
163	341	1741
164	342	1732
165	343	1723
166	343	1715
167	344	1706
168	345	1698
169	346	1690
170	347	1682
171	347	1674
172	348	1667
173	349	1660
174	350	1652
175	351	1644
176	352	1637
177	352	1629
178	353	1622
179	354	1614
180	355	1607
181	356	1600
182	356	1592
183	357	1585
184	358	1578
185	359	1571
186	359	1564
187	360	1557
188	361	1550
189	362	1543
190	363	1537
191	364	1532
192	364	1525
193	365	1518
194	366	1512
195	367	1506
196	367	1499
197	368	1493
198	369	1487
199	370	1481
200	371	1475
201	371	1469
202	372	1463
203	373	1457
204	374	1451
205	375	1445
206	375	1439
207	376	1433
208	377	1428
209	378	1423
210	379	1418
211	380	1412
212	380	1407
213	381	1401
214	382	1396
215	383	1390
216	383	1385
217	384	1379
218	385	1374
219	386	1369
220	386	1364
221	387	1358
222	388	1353
223	389	1348
224	390	1343
225	390	1338
226	391	1333
227	392	1329
228	393	1324
229	394	1320
230	395	1315
231	396	1310
232	396	1306
233	397	1301
234	398	1296
235	399	1292
236	399	1287
237	400	1282
238	401	1278
239	402	1273
240	402	1268
241	403	1264
242	404	1260
243	405	1255
244	406	1251
245	406	1247
246	407	1243
247	408	1239
248	409	1235
249	410	1230
250	411	1226
251	411	1222
252	412	1218
253	413	1214
254	414	1211
255	415	1206
256	416	1202
257	416	1198
258	417	1194
259	418	1190
260	419	1186
261	419	1182
262	420	1178
263	421	1175
264	422	1171
265	423	1168
266	424	1164
267	424	1160
268	425	1156
269	426	1153
270	427	1149
271	428	1145
272	428	1142
273	429	1138
274	430	1134
275	431	1131
276	432	1127
277	432	1124
278	433	1120
279	434	1117
280	435	1113
281	436	1110
282	437	1107
283	437	1103
284	438	1100
285	439	1097
286	440	1093
287	441	1090
288	441	1086
289	442	1083
290	443	1080
291	444	1076
292	444	1073
293	445	1070
294	446	1067
295	447	1063
296	448	1060
297	448	1057
298	449	1054
299	450	1050
300	451	1047
301	452	1045
302	453	1042
303	454	1039
304	454	1036
305	455	1033
306	456	1031
307	457	1028
308	458	1025
309	459	1022
310	460	1019
311	461	1016
312	461	1013
313	462	1011
314	463	1008
315	464	1005
316	465	1002
317	466	1000
318	467	997
319	468	994
320	469	992
